id,repository,notebooks_count,rrs,score_E,score_A,score_D,score_C,score_S,ros,rcs,paper_doi
1,caravangelo/inflation-easy,2,42.3,38.5,21.0,51.2,44.8,33.1,28.6,36.2,10.1093/mnras/stac123
2,alecarones/broom,4,61.7,55.2,48.3,67.4,58.9,41.2,71.4,65.8,10.1051/0004-6361/202244567
